MESSAGE SIZE,TOTAL TIME
1104000000,0.200201
1120000000,0.199293
1136000000,0.199456
1152000000,0.201751
1168000000,0.201330
1184000000,0.208791
1200000000,0.210171
1216000000,0.210341
1232000000,0.220045
1248000000,0.218028
1264000000,0.221411
1280000000,0.221156
1296000000,0.221320
1312000000,0.229388
1328000000,0.228929
1344000000,0.231234
1360000000,0.239734
1376000000,0.239686
1392000000,0.241221
1408000000,0.247222
1424000000,0.248488
1440000000,0.249519
1456000000,0.250862
1472000000,0.251705
1488000000,0.259077
1504000000,0.259833
1520000000,0.260520
1536000000,0.267698
1552000000,0.269368
1568000000,0.271280
1584000000,0.271557
1600000000,0.272022
1616000000,0.279585
1632000000,0.280527
1648000000,0.284396
1664000000,0.289372
1680000000,0.290309
1696000000,0.291952
1712000000,0.291126
1728000000,0.291522
1744000000,0.300070
1760000000,0.305013
1776000000,0.302137
1792000000,0.309484
1808000000,0.310137
1824000000,0.309563
1840000000,0.321526
1856000000,0.319632
1872000000,0.320371
1888000000,0.318919
1904000000,0.320118
1920000000,0.332062
1936000000,0.329635
1952000000,0.330610
1968000000,0.339528
1984000000,0.338905
2000000000,0.340017
2016000000,0.339125
2032000000,0.340132
2048000000,0.349259
2064000000,0.349728
2080000000,0.350127
2096000000,0.360400
2112000000,0.359306
2128000000,0.358908
2144000000,0.359903
16000000,0.005495
32000000,0.007942
48000000,0.009175
64000000,0.011924
80000000,0.014451
96000000,0.019522
112000000,0.020017
128000000,0.022405
144000000,0.027076
160000000,0.027560
176000000,0.032164
192000000,0.032734
208000000,0.038030
224000000,0.037939
240000000,0.042955
256000000,0.045374
272000000,0.046336
288000000,0.050293
304000000,0.051603
320000000,0.054735
336000000,0.057149
352000000,0.059526
368000000,0.064336
384000000,0.065588
400000000,0.067843
416000000,0.073294
432000000,0.072102
448000000,0.076463
464000000,0.079140
480000000,0.080643
496000000,0.084621
512000000,0.086137
528000000,0.089022
544000000,0.097044
560000000,0.100718
576000000,0.101437
592000000,0.103302
608000000,0.107563
624000000,0.110078
640000000,0.111595
656000000,0.113911
672000000,0.119340
688000000,0.120280
704000000,0.121578
720000000,0.125166
736000000,0.125703
752000000,0.130791
768000000,0.132248
784000000,0.133888
800000000,0.139256
816000000,0.140217
832000000,0.141766
848000000,0.147710
864000000,0.146960
880000000,0.150907
896000000,0.152855
912000000,0.154222
928000000,0.159733
944000000,0.162904
960000000,0.162405
976000000,0.168740
992000000,0.170278
1008000000,0.171685
1024000000,0.173425
1040000000,0.173732
1056000000,0.180511
1072000000,0.182347
1088000000,0.186593
1104000000,0.196139
1120000000,0.196099
1136000000,0.198286
1152000000,0.199645
1168000000,0.200172
1184000000,0.208125
1200000000,0.208593
1216000000,0.208946
1232000000,0.215687
1248000000,0.218292
1264000000,0.218969
1280000000,0.221241
1296000000,0.221435
1312000000,0.228692
1328000000,0.229027
1344000000,0.230527
1360000000,0.237159
1376000000,0.237979
1392000000,0.239722
1408000000,0.246562
1424000000,0.248388
1440000000,0.248840
1456000000,0.249412
1472000000,0.250951
1488000000,0.258046
1504000000,0.259780
1520000000,0.259723
1536000000,0.267409
1552000000,0.268974
1568000000,0.271799
1584000000,0.271071
1600000000,0.270697
1616000000,0.279023
1632000000,0.280525
1648000000,0.279890
1664000000,0.287452
1680000000,0.289321
1696000000,0.289940
1712000000,0.290552
1728000000,0.290124
1744000000,0.299418
1760000000,0.299790
1776000000,0.299730
1792000000,0.309119
1808000000,0.309950
1824000000,0.309151
1840000000,0.319094
1856000000,0.319262
1872000000,0.318928
1888000000,0.318335
1904000000,0.318469
1920000000,0.327597
1936000000,0.327975
1952000000,0.327922
1968000000,0.335930
1984000000,0.336473
2000000000,0.337308
2016000000,0.337866
2032000000,0.337819
2048000000,0.346657
2064000000,0.347006
2080000000,0.347299
2096000000,0.356023
2112000000,0.357814
2128000000,0.358199
2144000000,0.358627
16000000,0.005214
32000000,0.009132
48000000,0.009304
64000000,0.012048
80000000,0.015020
96000000,0.018318
112000000,0.020049
128000000,0.022853
144000000,0.026832
160000000,0.028287
176000000,0.033166
192000000,0.032843
208000000,0.037719
224000000,0.037611
240000000,0.041684
256000000,0.045355
272000000,0.046624
288000000,0.050881
304000000,0.052079
320000000,0.053996
336000000,0.058909
352000000,0.060112
368000000,0.064596
384000000,0.067403
400000000,0.068140
416000000,0.073366
432000000,0.073756
448000000,0.076890
